"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","3.5","4.9","3.8","4.7","5.5","5.6","7.6","","31.959","","","","","","10.426","20.472","18.192","17.608","17.606","16.495","14.538","15.68","17.364","17.735","17.911","7.672","8.27","7.505","7.578","7.111","7.217","",
"American Samoa","ASM","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.34","","","","","","","","","","4.88","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","15.54","14.76","14.43","16.98","","","","","","","","","","","","","","","","","","","","","","","","","8.04","","","","","","","","","","","","","","","","","7.556","","","","","4.789","",
"Australia","AUS","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","5.163","5.069","4.81","6.352","9.716","8.687","7.941","7.671","7.76","6.767","5.709","6.736","9.888","11.308","11.51","9.982","8.742","8.71","8.584","7.941","7.037","6.456","6.979","6.531","5.888","5.281","4.879","4.668","4.04","3.955","5.694","5.075","4.894","5.138","5.707","5.996","6.038","5.652","5.518","5.299","5.183","6.439","5.163","3.779","3.755","4.047",
"Austria","AUT","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","2","1.6","0.9","0.7","0.6","0.8","1.5","1.6","1.4","1.7","1.7","1.6","1.84","2.77","3.49","3.93","3.64","3.15","3.61","3.25","2.84","3.02","3.33","3.46","4.07","3.208","3.925","5.34","5.058","5.412","4.654","4.762","3.912","5.113","5.134","5.786","5.504","5.044","4.55","3.982","5.582","5.06","4.634","4.981","5.403","5.891","6.18","6.477","5.97","5.111","4.68","5.365","6.508","5.164","5.476","5.551",
"Azerbaijan","AZE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.13","0.37","0.46","0.6","0.7","0.83","0.93","14.19","10.89","10.34","9.72","9.07","7.94","7.23","6.88","7.09","6.15","4.94","4.39","4.43","4.32","4.04","4.02","4.09","4.2","4.1","4.1","4.29","6.13","5.15","4.81","","",
"Burundi","BDI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72","","","","","","","","","15","","","","","","","4.072","","2.16","","","","","","2.055","","","","","","1.091","","","","",
"Belgium","BEL","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","1.9","2.3","2.2","2.2","3.7","4.3","3.08","5","3.86","5.5","7.54","9.5","8.078","8.025","7.352","7.141","7.286","6.942","5.3","4.555","4.547","4.792","6.16","7.695","7.311","7.406","7.089","7.582","7.472","5.306","5.629","6.243","7.44","6.649","7.597","7.396","6.663","6.468","7.745","8.107","7.106","7.652","8.64","9.02","9.094","8.06","7.123","6.271","5.735","5.714","6.609","5.848","5.979","6.101",
"Benin","BEN","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","","","","","","2.21","","","","","","","","","","0.93","","","","","","","","0.93","2.418","","2.437","","","","","","1.086","","","1.894","","",
"Burkina Faso","BFA","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","2.31","","","","","","","","2.918","2.8","","","","","","","3.857","","","","4.746","1.49","","","1.911","4.981","2.547",
"Bangladesh","BGD","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","1.76","1.58","0.76","","","0.97","","2.25","","","","","2.71","","","","3.24","","","4.17","","3.35","2.664","","","4.2","2.954","2.141","","3.149","","","3.09","3.315","","","","","4.429","3.413","",
"Bulgaria","BGR","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9","12.6","14","16.566","20.864","18.776","14.203","12.4","10.297","8.644","6.516","5.479","6.986","10.859","12.263","13.522","13.902","12.312","9.777","8.1","6.354","5.692","4.455","5.351","5.381","4.34","4.41","4.392",
"Bahrain","BHR","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.44","","0.47","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","5.16","","16.7","","15.78","","8.44","","","","","","","9.59","","8.2","10.86","7.68","12.23","13.88","12.45","12.59","9.99","8.6","8.29","5.75","6.03","","6.71","","9.99","","9.26","7.03","6.72","7.18","14.45","","13.71","14.07","16.11","13","11","11.1","8","10.1","9.008","","","","9.056","",
"Bosnia and Herzegovina","BIH","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.46","","","","","","","","","","15.149","","","","","28.917","26.715","21.4","23.108","25.681","26.114","26.366","26.548","25.181","25.782","22.53","18.868","17.206","13.649","14.119","12.665","10.702","9.13","",
"Belarus","BLR","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.2","0.9","1.6","2.2","3","1.9","1.6","1.6","1.7","1.9","2.3","1.2","1.2","1","0.8","0.7","0.7","7.5","","0.6","0.6","0.6","0.7","1.2","7.48","7.229","5.926","5.109","4.775","4.734","4.242","4.137","",
"Belize","BLZ","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.64","8.99","9.94","11.67","8.86","10.61","9","","5.79","7.47","","","7.34","6.21","5.85","","","","","","5.822","4.752","5.436","4.403","4.593","5.646","5.87","","","","","",
"Bermuda","BMU","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13","","","","","","","","","5.96","7.01","","8.7","7.72","9.8","","","","","","","","","","",
"Bolivia","BOL","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","21.78","22.2","22.63","19.99","10.23","6.18","6.22","5.48","6.54","3.26","3.38","4.98","2.11","","3.38","3.58","4.46","4.31","","3.56","4.54","4.54","4.53","1.976","2.455","","1.918","1.489","1.983","1.363","2.62","3.092","3.343","3.442","3.427","6.415","4.486","2.938","2.613","2.322",
"Brazil","BRA","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","1.93","2.12","2.15","2.75","","3.9","4.7","4.62","3.9","3.17","2.22","3.34","3.54","3.474","4.212","","5.859","5.16","","5.855","6.349","7.026","7.855","8.757","","8.437","8.415","8.89","7.629","7.945","7.339","6.835","6.008","6.918","","5.446","5.795","5.674","5.603","7.218","10.061","11.191","10.72","10.051","11.784","10.656","7.463","6.597","5.588",
"Barbados","BRB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","8.16","8.34","11.17","7.1","7.51","5.44","6.93","7.21","12.93","14.19","12.99","13.17","12.64","9.15","6.07","6.58","20.59","21.63","18.39","16.62","11.71","11.41","8.53","7.89","7.49","8.01","8.5","9.53","","","","","","10.15","10.9","","","11.66","11.81","10.628","7.851","8.466","8.118","9.528","","10.488","6.968","6.196","",
"Brunei Darussalam","BRN","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","4.021","2.444","2.588","1.917","1.973","","","","","","","","3.7","","","","","","","","","","","","","","","","","","","","","","","6.121","","","8.795","7.716","5.746","6.435","3.868","4.699","5.281","",
"Bhutan","BTN","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.2","","1.3","","","1.89","2.9","2.63","","","2.64","2.7","1.85","1.9","2.2","1.91","1.84","","","2.679","2.237","4.13","3.618","4.383","2.356","2.721",
"Botswana","BWA","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","19.7","","","","","","11.68","","","19.7","","19.522","","18.62","","14.76","15.69","","21.4","","","15.637","","","13.003","14.59","18.003","","","","","","","","18.348","19.501","20.195","21.378","20.009","22.488",
"Central African Republic","CAF","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","6.5","7","6.8","5.8","5.6","","6.418","7.359","7.637","6.77","7.01","7.164","11.248","12.343","11.37","10.453","9.47","8.528","7.429","7.373","8.163","10.823","12.013","11.949","10.886","9.798","9.894","9.252","8.523","7.827","6.942","7.528","8.13","7.936","7.476","7.015","6.731","6.48","6.739","9.616","8.915","8.051","7.787","7.556","7.487","7.513","7.718","6.872","6.113","6.072","9.778","7.695","5.408","5.556","6.656",
"Central Europe and the Baltics","CEB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66610959771548","","10.2844863571031","9.72725946223841","9.05714333742256","8.62636839700806","8.49147626637652","10.2536999269405","11.6922683083152","13.0561358432238","13.5831188764865","12.8560816487007","12.5976959047185","11.4653979913748","9.69347889998401","7.4803466772431","6.28876244006837","8.53748274154962","10.0106514736547","9.74370297966958","9.89681138088711","9.92380040818809","8.65202060427712","7.74056658309067","6.52082415622688","5.31174310214022","4.31213522708166","3.70143079611265","4.31630366938854","4.44803078353234","3.99317667365037","4.02459465519688","3.98088240030929",
"Switzerland","CHE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","0.4","0.8","0.4","0.3","0.3","0.2","0.2","0.4","0.8","1","0.8","0.7","0.6","0.6","0.5","1.71","1.203","1.887","2.889","3.088","2.684","3.374","4.28","3.158","2.672","2.292","1.702","2.781","3.809","3.944","3.886","3.402","2.915","2.82","3.764","4.479","4.08","4.282","4.6","4.688","4.704","4.841","4.57","4.367","4.114","4.656","4.815","3.894","3.832","4.149",
"Channel Islands","CHI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","11.4","11.38","13.43","13.48","10.62","11.91","20.18","14.63","13.03","","8.34","","5.6","5","5.65","5.06","3.89","4.19","5.43","4.44","6.134","5.884","6.258","10.143","9.448","9.594","9.32","8.545","8.553","7.638","7.421","6.952","7.506","9.968","7.503","6.435","5.749","5.673","6.38","6.107","6.544","6.864","7.005","7.021","11.018","9.214","7.905","8.826","8.155",
"China","CHN","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.597","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.13","3.548","","","1.556","2.865","","1.945","","","2.097","","",
"Cameroon","CMR","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.47","","","","","8.18","","","","21.287","","2.635","","","3.4","","","","3.063","","","","","","","2.479","","","",
"Congo, Dem. Rep.","COD","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.639","","","","","","","5.322","","","","","","","","1.831","","","","",
"Congo, Rep.","COG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.481","","","","23.163","","","9.4","","","","","","","","","","","","",
"Colombia","COL","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","9.15","","7.8","","","7.5","","","9.1","10.81","10.66","10.03","8.24","","","","7.58","6.69","5.3","5.28","6.75","9.44","9.82","12.52","17.23","16.94","12.021","11.971","10.51","10.213","8.742","","8.305","8.532","9.047","8.823","8.087","7.781","7.271","6.964","6.693","7.044","7.123","7.418","8.215","12.799","10.899","8.617","7.939","7.96",
"Comoros","COM","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.356","","","","","","","","","","6.68","","","","","","","3.913","","","",
"Cabo Verde","CPV","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.26","","","","","","","","","","","","","","","","","","","13.349","","","","","","31.002","","11.82","12.66","10.66","","","","","",
"Costa Rica","CRI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.183","5.587","5.803","5.377","5","4.326","3.199","4.132","6.561","5.964","8.046","7.969","7.2","7.169","7.132","6.787","6.487","7.457","8.52","13.222","11.738","8.655","7.121","6.372",
"Caribbean small states","CSS","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.960981175113","15.713358603789","14.6371213451838","13.0934179374207","11.7103748301357","11.1060907345515","10.1021991007568","9.95586362597244","","","8.97224836653545","","","","","","","","","","","6.59266716087808","5.06461619018433","4.87074622062894","5.33281141309321","","","7.06670053327778","","","","","",
"Cuba","CUB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.45","4.86","4.73","4.42","4.29","3.81","3.13","2.56","1.71","1.654","1.8","1.731","1.737","1.348","1.47","2.37","2.97","3.448","3.13","2.4","2.3","1.9","1.7","1.6","","","","","","",
"Curacao","CUW","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3","","17.62","","","","",
"Cayman Islands","CYM","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.21","","","","","","","","","","","","","2.48","","2.45","3.49","3.84","7.04","","8.07","7.1","6.7","4.75","3.3","","","","","","","","","",
"Cyprus","CYP","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","11.3","8","3","1.7","1.5","1.6","2.4","2.4","2.9","2.9","2.9","2.9","2.7","2.2","1.7","1.4","2.2","2","1.8","2","1.9","2.3","2.7","2.8","4.304","2.851","2.665","2.604","3.776","3.541","4.494","3.904","3.408","3.213","5.493","6.229","8.118","12.781","16.799","17.219","15.152","12.656","10.972","8.158","6.321","7.702","7.076","5.958","5.79","4.605",
"Czechia","CZE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","2.44","2.2","3.468","3.538","3.459","3.253","3.809","5.036","7.268","7.329","6.738","5.899","6.105","7.025","6.455","5.808","4.218","3.461","5.848","6.382","5.799","6.025","5.904","5.098","4.232","3.378","2.34","1.793","1.724","2.23","2.308","1.789","2.209","2.245",
"Germany","DEU","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","5.754","5.657","5.826","5.54","6.089","5.275","4.538","4.038","4.423","4.911","6.461","7.542","7.053","8.239","9.306","9.289","8.559","7.64","7.768","8.696","10.181","11.251","11.398","10.279","8.698","7.329","8.211","7.423","6.191","5.496","5.598","5.282","4.963","4.434","4.181","3.799","3.542","4.223","3.987","3.368","3.258","3.586",
"Djibouti","DJI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.073","","","","","","","",
"Dominica","DMA","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.94","","9.85","","","","","","19.69","","13.07","","11.92","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","1.1","2.5","5.8","5.5","6.1","6.6","5.1","6.5","9.2","9.7","9.156","7.779","6.373","4.556","5.202","5.783","7.51","7.835","8.297","8.291","10.396","7.207","5.614","5.537","4.516","3.85","4.485","4.04","3.624","4.236","5.094","4.999","4.436","3.332","3.449","3.338","7.068","8.622","7.902","7.804","7.122","6.732","6.057","5.639","5.636","4.94","4.795","5.339","5.004","4.38","4.931","5.854",
"Dominican Republic","DOM","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.17","5.171","4.922","5.258","4.319","4.873","3.837","3.813","3.224","4.119","4.122","4.687","5.148","5.344","4.83","5.446","4.99","4.294","3.674","4.076","4.158","4.346","3.3","3.468","3.193",
"Algeria","DZA","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.68","21.3","21.7","","","","","","25.32","","","29.78","","","23.43","17.54","","","","","8.57","8.11","","9.56","8.3","8.956","9.923","8.177","9.78","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00447004234359","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.61356592728412","","","","","","5.01020942147261","","","","","5.17672985625114","","","","","4.28515883981245","","4.49534264292633","","","","","","6.71989858529938","6.14741783524378","7.37989855473209","6.44953604778897","5.26567779350985","4.63019670663036","",
"East Asia & Pacific","EAS","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.10776972954599","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.93238099911609","7.03722926479783","7.32971909297356","8.61079632187728","","","","","","9.68238572658705","9.41226410997095","9.59841279427636","9.31949226831702","9.15553873789898","10.7619787908688","9.9345193748533","8.77828395992479","8.37997703913586","8.3276075167645","9.25128192202211","9.08917045585354","9.30093656529647","8.92472930735967","9.37203555666338","9.49885923594347","8.98999166036717","9.42139072371974","","","",
"Europe & Central Asia","ECS","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.09220298651774","8.2406892306872","9.07752331651857","8.70561130518005","9.09461674957632","9.39796267756573","8.64117476652083","8.54043665792068","7.90360628613045","8.05263838081623","8.48490236344592","8.63868296170847","8.77076822976378","8.29679865571784","7.89284142096796","7.05120865954176","7.05978322440366","9.35699805884491","9.31398988355137","8.87357335219378","9.11001226896425","9.27864757723492","9.04478476599196","8.60303625004143","8.1037145430443","7.43315128361331","6.85923396054335","6.6163644142433","6.97901717503235","6.77567840832094","5.60988612437279","5.33208009757927","5.13711970565258",
"Ecuador","ECU","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.25","5.14","5.76","4.1","5.18","5.63","5.85","5.44","5.38","7.98","6.92","8.38","10.26","3.843","3.618","","5.357","4.531","3.178","3.016","2.635","3.199","3.771","3.52","2.926","2.852","2.705","3.057","3.005","3.703","3.049","2.915","3.252","5.269","3.644","3.225","2.9","2.815",
"Egypt, Arab Rep.","EGY","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","2.42","2.72","3.47","3.94","3.82","3.85","5.65","4.68","","","","","5.5","5.1","5.78","6.35","7.5","7.3","7.38","6.9","5.19","4.93","4.94","5.06","5.67","6.22","7.43","5.81","7.11","6.68","5.82","5.531","5.04","4.77","8.77","9.235","9.796","9.73","9.392","8.88","8.246","6.801","4.826","5.981","5.627","5.051","4.617","",
"Euro area","EMU","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1870478130568","6.54173378133679","7.0253162572641","8.9149997371958","9.96483475346141","9.43597360289204","9.85793734847623","9.97449538513744","9.48168675007454","8.78134559360285","7.95700979778152","7.2303377934018","7.62570784104136","8.10377020363186","8.39058023980164","8.23696591744365","7.48266973450214","6.69336018906265","6.85429317987173","9.44485424715613","9.98979118977849","10.0396433289017","11.2508150965305","11.9157410189487","11.4590538735745","10.7174429971234","9.7340687666751","8.74037696569752","7.80919837944237","7.19043753047351","7.53442962719783","7.4163572577382","6.39127724935189","6.22261985244613","6.1125329711878",
"Eritrea","ERI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
